Labor Force Statistics from the Current Population Survey


1-Month Percent Change
Series Id:           LNU04000000

Not Seasonally Adjusted
Series title:        (Unadj) Unemployment Rate
Labor force status:  Unemployment rate
Type of data:        Percent or rate
Age:                 16 years and over


Series id,Year,Period,Value
LNU04000000,2010,M01,9.3
LNU04000000,2010,M02,-1.9
LNU04000000,2010,M03,-1.9
LNU04000000,2010,M04,-6.9
LNU04000000,2010,M05,-2.1
LNU04000000,2010,M06,3.2
LNU04000000,2010,M07,1.0
LNU04000000,2010,M08,-2.1
LNU04000000,2010,M09,-3.2
LNU04000000,2010,M10,-2.2
LNU04000000,2010,M11,3.3
LNU04000000,2010,M12,-2.2
LNU04000000,2011,M01,7.7
LNU04000000,2011,M02,-3.1
LNU04000000,2011,M03,-3.2
LNU04000000,2011,M04,-5.4
LNU04000000,2011,M05,0.0
LNU04000000,2011,M06,6.9
LNU04000000,2011,M07,0.0
LNU04000000,2011,M08,-2.2
LNU04000000,2011,M09,-3.3
LNU04000000,2011,M10,-3.4
LNU04000000,2011,M11,-3.5
LNU04000000,2011,M12,1.2
LNU04000000,2012,M01,6.0
LNU04000000,2012,M02,-1.1
LNU04000000,2012,M03,-3.4
LNU04000000,2012,M04,-8.3
LNU04000000,2012,M05,2.6
LNU04000000,2012,M06,6.3
LNU04000000,2012,M07,2.4
LNU04000000,2012,M08,-4.7
LNU04000000,2012,M09,-7.3
LNU04000000,2012,M10,-1.3
LNU04000000,2012,M11,-1.3
LNU04000000,2012,M12,2.7
LNU04000000,2013,M01,11.8
LNU04000000,2013,M02,-4.7
LNU04000000,2013,M03,-6.2
LNU04000000,2013,M04,-6.6
LNU04000000,2013,M05,2.8
LNU04000000,2013,M06,6.8
LNU04000000,2013,M07,-1.3
LNU04000000,2013,M08,-5.2
LNU04000000,2013,M09,-4.1
LNU04000000,2013,M10,0.0
LNU04000000,2013,M11,-5.7
LNU04000000,2013,M12,-1.5
LNU04000000,2014,M01,7.7
LNU04000000,2014,M02,0.0
LNU04000000,2014,M03,-2.9
LNU04000000,2014,M04,-13.2
LNU04000000,2014,M05,3.4
LNU04000000,2014,M06,3.3
LNU04000000,2014,M07,3.2
LNU04000000,2014,M08,-3.1
LNU04000000,2014,M09,-9.5
LNU04000000,2014,M10,-3.5
LNU04000000,2014,M11,0.0
LNU04000000,2014,M12,-1.8
LNU04000000,2015,M01,13.0
LNU04000000,2015,M02,-4.9
LNU04000000,2015,M03,-3.4
LNU04000000,2015,M04,-8.9
LNU04000000,2015,M05,3.9
LNU04000000,2015,M06,3.8
LNU04000000,2015,M07,1.8
LNU04000000,2015,M08,-7.1
LNU04000000,2015,M09,-5.8
LNU04000000,2015,M10,-2.0
LNU04000000,2015,M11,0.0
LNU04000000,2015,M12,0.0
LNU04000000,2016,M01,10.4
LNU04000000,2016,M02,-1.9
LNU04000000,2016,M03,-1.9
LNU04000000,2016,M04,-7.8
LNU04000000,2016,M05,-4.3
LNU04000000,2016,M06,13.3
LNU04000000,2016,M07,0.0
LNU04000000,2016,M08,-2.0
LNU04000000,2016,M09,-4.0
LNU04000000,2016,M10,-2.1
LNU04000000,2016,M11,-6.4
LNU04000000,2016,M12,2.3
LNU04000000,2017,M01,13.3
LNU04000000,2017,M02,-3.9
LNU04000000,2017,M03,-6.1
LNU04000000,2017,M04,-10.9
LNU04000000,2017,M05,0.0
LNU04000000,2017,M06,9.8
LNU04000000,2017,M07,2.2
LNU04000000,2017,M08,-2.2
LNU04000000,2017,M09,-8.9
LNU04000000,2017,M10,-4.9
LNU04000000,2017,M11,0.0
LNU04000000,2017,M12,0.0
LNU04000000,2018,M01,15.4
LNU04000000,2018,M02,-2.2
LNU04000000,2018,M03,-6.8
LNU04000000,2018,M04,-9.8
LNU04000000,2018,M05,-2.7
LNU04000000,2018,M06,16.7
LNU04000000,2018,M07,-2.4
LNU04000000,2018,M08,-4.9
LNU04000000,2018,M09,-7.7
LNU04000000,2018,M10,-2.8
LNU04000000,2018,M11,0.0
LNU04000000,2018,M12,5.7
LNU04000000,2019,M01,18.9
LNU04000000,2019,M02,-6.8
LNU04000000,2019,M03,-4.9
LNU04000000,2019,M04,-15.4
LNU04000000,2019,M05,3.0
LNU04000000,2019,M06,11.8
LNU04000000,2019,M07,5.3
LNU04000000,2019,M08,-5.0
LNU04000000,2019,M09,-13.2
LNU04000000,2019,M10,0.0
LNU04000000,2019,M11,0.0
LNU04000000,2019,M12,3.0
LNU04000000,2020,M01,17.6
LNU04000000,2020,M02,-5.0
LNU04000000,2020,M03,18.4
LNU04000000,2020,M04,220.0
LNU04000000,2020,M05,-9.7
LNU04000000,2020,M06,-13.8
